importance,feature
0.00170,std:gyro_mag__dom_power
0.00170,std:gyro_z__spec_centroid
0.00170,std:gyro_z__dom_power
0.00169,std:gyro_z__dom_freq
0.00169,std:acc_x__band_3.0_6.0
0.00169,std:gyro_x__zcr
0.00169,std:acc_gyro_mag_corr
0.00169,std:acc_x__band_1.5_3.0
0.00168,std:gyro_x__band_1.5_3.0
0.00168,std:acc_corr_xz
0.00167,std:gyro_x__spec_centroid
0.00167,std:gyro_z__band_1.5_3.0
0.00167,std:gyro_mag__band_0.5_1.5
0.00167,std:gyro_mag__skew
0.00166,std:gyro_x__dom_freq
0.00166,std:gyro_y__zcr
0.00166,std:gyro_z__spec_entropy
0.00165,std:gyro_mag__band_3.0_6.0
0.00165,std:gyro_mag__spec_centroid
0.00165,std:gyro_mag__band_6.0_12.5
0.00163,std:acc_corr_yz
0.00161,std:gyro_y__spec_centroid
0.00159,std:gyro_mag__spec_entropy
0.00158,std:gyro_mag__zcr
